updated_at,game,kickoff_utc,market_ticker,player_name,player_id,threshold,yes_bid,yes_ask,no_bid,no_ask,projection,fair_yes,fair_no,yes_edge,no_edge,minutes_to_kickoff,entry_price,edge_required,size_units,market_qc_pass,model_available,action,max_contracts_at_1_unit
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-GBMGOLDEN0-70,Matthew Golden: 70+ receiving yards,00-0040667,70.0,0.31,0.34,0.6599999999999999,0.69,46.30049393431656,0.125,0.875,-0.21500000000000002,0.18500000000000005,527.5112325666666,0.69,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-ATLDLONDON5-100,Drake London: 100+ receiving yards,00-0037238,100.0,0.22,0.23,0.77,0.78,51.240547486682765,0.0388931591083781,0.961106840891622,-0.19110684089162192,0.181106840891622,527.5112325666666,0.78,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,BAL@DAL,2026-09-27T20:25:00+00:00,KXNFLRECYDS-26SEP27BALDAL-DALCLAMB88-80,CeeDee Lamb: 80+ receiving yards,00-0036358,80.0,0.51,0.55,0.4499999999999999,0.49,71.75182584905708,0.3297045101088648,0.6702954898911352,-0.22029548989113523,0.1802954898911352,4617.511232566667,0.49,0.02,1.0,True,True,BET_NOW_PAPER,2
2026-09-24T15:25:01.104499+00:00,LAC@BUF,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27LACBUF-LACLMCCONKEY15-50,Ladd McConkey: 50+ receiving yards,00-0039915,50.0,0.54,0.58,0.42,0.4599999999999999,45.27196342640875,0.3602584814216478,0.6397415185783522,-0.21974151857835217,0.17974151857835224,4412.511232566667,0.4599999999999999,0.02,1.0,True,True,BET_NOW_PAPER,2
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-GBMGOLDEN0-50,Matthew Golden: 50+ receiving yards,00-0040667,50.0,0.54,0.55,0.4499999999999999,0.4599999999999999,46.30049393431656,0.3602584814216478,0.6397415185783522,-0.18974151857835225,0.17974151857835224,527.5112325666666,0.4599999999999999,0.02,1.0,True,True,BET_NOW_PAPER,2
2026-09-24T15:25:01.104499+00:00,BAL@DAL,2026-09-27T20:25:00+00:00,KXNFLRECYDS-26SEP27BALDAL-DALGPICKENS3-50,George Pickens: 50+ receiving yards,00-0037247,50.0,0.6,0.64,0.36,0.4,50.2109966436286,0.4221732745961821,0.5778267254038179,-0.21782672540381792,0.17782672540381783,4617.511232566667,0.4,0.02,1.0,True,True,BET_NOW_PAPER,2
2026-09-24T15:25:01.104499+00:00,CIN@PIT,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27CINPIT-CINJCHASE1-100,Ja'Marr Chase: 100+ receiving yards,00-0036900,100.0,0.26,0.3,0.7,0.74,67.35238704863403,0.0865758754863813,0.9134241245136188,-0.2134241245136187,0.17342412451361877,4412.511232566667,0.74,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-ATLDLONDON5-40,Drake London: 40+ receiving yards,00-0037238,40.0,0.75,0.77,0.2299999999999999,0.25,51.240547486682765,0.5808823529411765,0.4191176470588235,-0.1891176470588235,0.16911764705882348,527.5112325666666,0.25,0.04,0.5,True,True,BET_NOW_PAPER,4
2026-09-24T15:25:01.104499+00:00,NYJ@DET,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27NYJDET-DETJWILLIAMS1-80,Jameson Williams: 80+ receiving yards,00-0037240,80.0,0.23,0.26,0.74,0.77,43.062913752018645,0.0610138248847926,0.9389861751152074,-0.19898617511520741,0.16898617511520742,4412.511232566667,0.77,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-GBCWATSON9-100,Christian Watson: 100+ receiving yards,00-0038124,100.0,0.23,0.24,0.76,0.77,62.8475438262419,0.0610138248847926,0.9389861751152074,-0.1789861751152074,0.16898617511520742,527.5112325666666,0.77,0.02,1.0,True,True,BET_NOW_PAPER,1
