market_ticker,game_id,player_id,threshold,model_version,calibration_version,generated_at,fair_yes,fair_no,raw_fair_yes,projection,residual_sd,position,season_games_before,prior_carries,prior_carries_pg,prior_rush_yds_pg,context_flags,qc_status,qc_reason
KXNFLRSHYDS-26SEP20SEAARI-ARITALLGEIER22-25,2026_02_SEA_ARI,00-0037263,25.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.7785467128027682,0.22145328719723179,0.9141055905839895,48.91218686498584,17.499131191796593,RB,1,143.0,8.411764705882353,30.235294117647058,LOW_THRESHOLD_10_30_CALIBRATION_CAUTION,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-CARCHUBBARD30-40,2026_02_CAR_ATL,00-0036555,40.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.3585657370517928,0.6414342629482073,0.46675087801108056,38.539874078762395,17.499131191796593,RB,1,134.0,8.933333333333334,34.06666666666667,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20SEAARI-ARITALLGEIER22-20,2026_02_SEA_ARI,00-0037263,20.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.8320926385442513,0.1679073614557487,0.95075381895249,48.91218686498584,17.499131191796593,RB,1,143.0,8.411764705882353,30.235294117647058,LOW_THRESHOLD_10_30_CALIBRATION_CAUTION,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-CARCHUBBARD30-30,2026_02_CAR_ATL,00-0036555,30.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.5889175257731958,0.4110824742268042,0.6872311117100756,38.539874078762395,17.499131191796593,RB,1,134.0,8.933333333333334,34.06666666666667,LOW_THRESHOLD_10_30_CALIBRATION_CAUTION,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20SEAARI-ARIJBRISSETT7-40,2026_02_SEA_ARI,00-0033119,40.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.0694607268464243,0.9305392731535757,0.06964462714860131,14.128532712407502,17.499131191796593,QB,1,38.0,2.7142857142857144,12.0,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-CARCHUBBARD30-25,2026_02_CAR_ATL,00-0036555,25.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.614247311827957,0.385752688172043,0.7804593474301984,38.539874078762395,17.499131191796593,RB,1,134.0,8.933333333333334,34.06666666666667,LOW_THRESHOLD_10_30_CALIBRATION_CAUTION,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20SEAARI-ARIJBRISSETT7-30,2026_02_SEA_ARI,00-0033119,30.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.1097112117780294,0.8902887882219706,0.1822070960479723,14.128532712407502,17.499131191796593,QB,1,38.0,2.7142857142857144,12.0,LOW_THRESHOLD_10_30_CALIBRATION_CAUTION,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-ATLBROBINSON15-80,2026_02_CAR_ATL,00-0037746,80.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.0239520958083832,0.9760479041916168,0.002954760995312174,31.829093469910845,17.499131191796593,RB,1,92.0,5.411764705882353,23.529411764705884,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20SEAARI-ARIJBRISSETT7-25,2026_02_SEA_ARI,00-0033119,25.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.1097112117780294,0.8902887882219706,0.2672150912009238,14.128532712407502,17.499131191796593,QB,1,38.0,2.7142857142857144,12.0,LOW_THRESHOLD_10_30_CALIBRATION_CAUTION,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-ATLBROBINSON15-70,2026_02_CAR_ATL,00-0037746,70.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.0336448598130841,0.9663551401869159,0.014580508107284434,31.829093469910845,17.499131191796593,RB,1,92.0,5.411764705882353,23.529411764705884,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20SEAARI-ARIJBRISSETT7-20,2026_02_SEA_ARI,00-0033119,20.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.222509702457956,0.777490297542044,0.36861300825341625,14.128532712407502,17.499131191796593,QB,1,38.0,2.7142857142857144,12.0,LOW_THRESHOLD_10_30_CALIBRATION_CAUTION,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-ATLBROBINSON15-60,2026_02_CAR_ATL,00-0037746,60.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.0450062508681761,0.9549937491318239,0.05371573895861689,31.829093469910845,17.499131191796593,RB,1,92.0,5.411764705882353,23.529411764705884,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20SEAARI-ARIJBRISSETT7-15,2026_02_SEA_ARI,00-0033119,15.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.4098939929328622,0.5901060070671378,0.4801406430267148,14.128532712407502,17.499131191796593,QB,1,38.0,2.7142857142857144,12.0,LOW_THRESHOLD_10_30_CALIBRATION_CAUTION,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-ATLBROBINSON15-50,2026_02_CAR_ATL,00-0037746,50.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.0748091603053435,0.9251908396946565,0.14954447848269936,31.829093469910845,17.499131191796593,RB,1,92.0,5.411764705882353,23.529411764705884,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20SEAARI-ARIJBRISSETT7-10,2026_02_SEA_ARI,00-0033119,10.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.4804804804804805,0.5195195195195195,0.5932556784488681,14.128532712407502,17.499131191796593,QB,1,38.0,2.7142857142857144,12.0,LOW_THRESHOLD_10_30_CALIBRATION_CAUTION,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-ATLBROBINSON15-40,2026_02_CAR_ATL,00-0037746,40.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.1623616236162361,0.8376383763837639,0.3202742198436651,31.829093469910845,17.499131191796593,RB,1,92.0,5.411764705882353,23.529411764705884,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-ATLBROBINSON15-30,2026_02_CAR_ATL,00-0037746,30.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.4318181818181818,0.5681818181818181,0.5416235621336675,31.829093469910845,17.499131191796593,RB,1,92.0,5.411764705882353,23.529411764705884,LOW_THRESHOLD_10_30_CALIBRATION_CAUTION,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-ATLBROBINSON15-25,2026_02_CAR_ATL,00-0037746,25.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.5652173913043478,0.4347826086956522,0.6518253691820974,31.829093469910845,17.499131191796593,RB,1,92.0,5.411764705882353,23.529411764705884,LOW_THRESHOLD_10_30_CALIBRATION_CAUTION,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-ATLBROBINSON15-20,2026_02_CAR_ATL,00-0037746,20.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.614247311827957,0.385752688172043,0.7504738865259151,31.829093469910845,17.499131191796593,RB,1,92.0,5.411764705882353,23.529411764705884,LOW_THRESHOLD_10_30_CALIBRATION_CAUTION,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-ATLBROBINSON15-15,2026_02_CAR_ATL,00-0037746,15.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.7077720207253886,0.2922279792746114,0.8319024087317133,31.829093469910845,17.499131191796593,RB,1,92.0,5.411764705882353,23.529411764705884,LOW_THRESHOLD_10_30_CALIBRATION_CAUTION,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-ATLBROBINSON15-10,2026_02_CAR_ATL,00-0037746,10.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.7678571428571429,0.2321428571428571,0.8938816581041085,31.829093469910845,17.499131191796593,RB,1,92.0,5.411764705882353,23.529411764705884,LOW_THRESHOLD_10_30_CALIBRATION_CAUTION,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CINHOU-HOUCSTROUD7-40,2026_02_CIN_HOU,00-0039163,40.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.0450062508681761,0.9549937491318239,0.05245837224148598,11.625672774055204,17.499131191796593,QB,1,48.0,3.4285714285714284,14.928571428571429,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
